base,prime_factors,radical,phi_over_b,candidate_count_exact,candidate_density_exact,relative_candidate_sites_vs_odd,kl_from_uniform_bits,normalized_entropy,reduced_chi2,max_prime_rate_lift,min_prime_rate_lift,lift_cv,excess_transition_js,excess_internal_js,excess_digit_sum_js
79,79,79,0.9873417721518988,98734177,0.9873417798734178,1.9746835597468355,1.2869882306538778e-06,0.9999998164785036,0.1335322736065685,1.0033465518728149,0.9971595730552792,0.0013359265606994,-0.002501699816361,-0.0044367891230753,0.5043160016067262
80,2*5,10,0.4,39999999,0.39999999399999994,0.7999999879999998,9.583579228644057e-07,0.9999998646389733,0.0974633072897531,1.0028310196764494,0.9982977198778192,0.001152652864215,0.0420649235753408,-0.0041283476468993,0.0003830090219787
81,3,3,0.6666666666666666,66666666,0.6666666666666666,1.3333333333333333,7.474999029755791e-07,0.9999998958685569,0.1126496953147928,1.0024312404827367,0.9976230796429862,0.0010179812982716,0.0182256764128096,-0.004476933246416,0.3383317625752959
82,2*41,82,0.4878048780487805,48780486,0.48780486487804865,0.9756097297560973,7.424821388163188e-07,0.9999998969984465,0.0862921582437706,1.002030044309225,0.9980256166253392,0.0010140454857125,0.0428573635125011,-0.0049038035557558,0.0003482151700494
83,83,83,0.9879518072289156,98795180,0.9879518098795181,1.9759036197590363,1.266979969434034e-06,0.9999998259250689,0.1249142497271595,1.0024668238852834,0.9963192066201574,0.0013251596512324,-0.002627809925282,-0.0050859693143404,0.5077199650861008
84,2*3*7,42,0.2857142857142857,28571427,0.28571427285714274,0.5714285457142855,7.242947443363512e-07,0.9999999001390991,0.0843415821523645,1.0022304646242448,0.9979165116571308,0.0010024453096135,0.0445988086242024,-0.0051499797994523,0.000361077673382
85,5*17,85,0.7529411764705882,75294115,0.7529411475294115,1.505882295058823,7.906594976070159e-07,0.9999998912409541,0.1002426777058386,1.001958000861184,0.9976035453088108,0.0010469757553642,0.0070869068989574,-0.0045058009522578,0.4589649900855476
86,2*43,86,0.4883720930232558,48837208,0.4883720848837208,0.9767441697674416,7.52659503655595e-07,0.9999998965452321,0.0852387103561511,1.0024340842619615,0.9985445175062134,0.0010215190534732,0.0447489102541736,-0.0050326432412176,0.0004904936157801
87,3*29,87,0.6436781609195402,64367815,0.6436781564367815,1.287356312873563,7.135911417321531e-07,0.999999902651823,0.0808714776168592,1.002380547722658,0.9985243767051188,0.000994704611549,0.0198287402295667,-0.0051689439609513,0.3373626478564192
88,2*11,22,0.45454545454545453,45454544,0.4545454445454544,0.9090908890909088,7.056594002041728e-07,0.9999999045448187,0.0795201913730684,1.002075430597422,0.9983489801991792,0.0009889000186472,0.0467604725687656,-0.0051758257535229,0.0003160637443708
89,89,89,0.9887640449438202,98876404,0.9887640498876405,1.977528099775281,1.0196270080674576e-06,0.9999998608699462,0.0936108126205913,1.0026867227025111,0.9967307827958272,0.001188888030886,0.0006638650888673,-0.0059776469762495,0.5022866631941184
90,2*3*5,30,0.26666666666666666,26666665,0.2666666526666665,0.5333333053333331,6.811757850814892e-07,0.9999999074119412,0.0615526305280409,1.0019832144165538,0.9985491529867178,0.0009719729796694,0.0497122776468516,-0.0062072938866428,0.0002736250541657
91,7*13,91,0.7912087912087912,79120879,0.7912087979120879,1.5824175958241757,8.411706212908321e-07,0.9999998875764127,0.0946368055125176,1.0026962389603216,0.9979358520629672,0.0010798210249522,0.0013424742670492,-0.0067084327864339,0.5813458528409681
92,2*23,46,0.4782608695652174,47826086,0.4782608647826086,0.9565217295652172,6.702290375212083e-07,0.9999999099206679,0.0759177186685261,1.0025197909175134,0.9982965487620608,0.0008999867717188,0.0484670283969211,-0.0069369603966128,0.0002401706291131
93,3*31,93,0.6451612903225806,64516128,0.6451612864516128,1.2903225729032255,7.746705628086884e-07,0.999999896632058,0.1048584680971905,1.0018720844144866,0.9975919149125656,0.0010361544729214,0.0207400528660669,-0.0070180619123271,0.3389250178925934
94,2*47,94,0.48936170212765956,48936169,0.4893616948936169,0.9787233897872338,6.556354481902779e-07,0.9999999122787118,0.0733240857584112,1.0023495204460884,0.9984320853589504,0.0008897516165827,0.0509418919497176,-0.0073481494826772,0.000279521361137
95,5*19,95,0.7578947368421053,75789473,0.7578947275789472,1.5157894551578943,6.684919631738896e-07,0.9999999107775434,0.074746893360469,1.002660114570869,0.997622934528228,0.000963369266174,0.0076512107381902,-0.0073204973539862,0.5070429657713747
96,2*3,6,0.3333333333333333,33333332,0.33333332333333325,0.6666666466666664,7.035073582792985e-07,0.999999906252309,0.0774014134474707,1.002007354580936,0.9982540766433256,0.0009876770791494,0.0520861190852934,-0.008207457762885,0.0003067202954152
97,97,97,0.9896907216494846,98969071,0.9896907198969072,1.9793814397938143,1.3326916690203916e-06,0.9999997983745282,0.1120432884874308,1.0032965750478595,0.9967648915666908,0.001359168774742,0.0007436186336467,-0.0080930173574327,0.5040066603182152
98,2*7,14,0.42857142857142855,42857142,0.42857142428571426,0.8571428485714285,6.196939104752719e-07,0.9999999173732455,0.067530932722088,1.0019592249863467,0.9987446723581932,0.000925375137029,0.0539553792539372,-0.0082549214776627,0.0002746109771342
99,3*11,33,0.6060606060606061,60606059,0.6060605960606059,1.212121192121212,7.695923617267343e-07,0.9999998977828838,0.1041969118197897,1.0031427836000235,0.9977587250986726,0.0010329693076409,0.0253943589484316,-0.0089340498168124,0.4294032807411075
100,2*5,10,0.4,39999999,0.39999999399999994,0.7999999879999998,6.407561385524893e-07,0.9999999157332902,0.0656513644530672,1.0020245414705047,0.9986393531558652,0.0009415700430042,0.0552024688371248,-0.0089092079992418,0.0002617665117986
